aX,aY,aZ,gX,gY,gZ
0.041,-0.410,0.912,9.949,-6.348,0.671
0.051,-0.442,0.953,11.658,-8.240,0.427
0.049,-0.450,0.972,10.864,-6.348,2.197
0.078,-0.449,0.972,9.644,-0.854,7.385
0.086,-0.441,0.964,8.240,3.052,9.460
0.063,-0.413,0.947,6.226,3.784,6.470
0.086,-0.397,0.933,3.296,4.456,5.615
0.087,-0.378,0.917,-0.183,2.991,5.920
0.087,-0.367,0.903,-2.563,1.587,5.432
0.102,-0.362,0.898,-3.357,-0.366,4.211
0.115,-0.365,0.902,-4.089,-2.197,2.930
0.128,-0.370,0.907,-4.456,-3.357,2.197
0.130,-0.370,0.913,-4.700,-3.784,2.502
0.128,-0.365,0.915,-4.883,-3.235,3.235
0.124,-0.361,0.915,-5.127,-1.831,4.333
0.116,-0.358,0.911,-5.127,-0.549,5.127
0.107,-0.347,0.904,-5.066,0.610,6.104
0.099,-0.341,0.901,-4.822,1.770,6.409
0.097,-0.340,0.895,-4.456,2.747,6.042
0.115,-0.346,0.899,-4.333,3.052,5.188
0.107,-0.351,0.892,-4.150,1.770,4.517
0.122,-0.360,0.896,-4.028,1.465,5.737
0.115,-0.359,0.901,-3.113,-0.610,6.226
0.115,-0.357,0.907,-3.052,-1.587,6.226
0.112,-0.349,0.911,-3.418,-2.686,6.958
0.106,-0.343,0.912,-3.113,-3.296,7.996
0.095,-0.334,0.915,-2.869,-3.540,9.033
0.074,-0.328,0.913,-2.380,-3.540,9.094
0.070,-0.321,0.912,-1.953,-2.625,9.399
0.065,-0.314,0.911,-1.709,-2.197,9.521
0.058,-0.311,0.912,-1.953,-2.686,8.362
0.058,-0.309,0.915,-3.601,-4.028,6.836
0.054,-0.309,0.916,-5.127,-5.432,5.371
0.057,-0.310,0.914,-5.615,-5.676,4.761
0.057,-0.312,0.913,-4.700,-5.615,4.456
0.056,-0.309,0.920,-2.869,-4.700,4.517
0.051,-0.309,0.923,-1.221,-3.113,4.700
0.051,-0.310,0.924,-0.122,-1.587,4.456
0.056,-0.312,0.925,-0.122,-0.671,3.784
0.061,-0.317,0.922,-0.732,-0.366,2.991
0.066,-0.318,0.915,-1.770,-0.366,2.258
0.072,-0.318,0.907,-2.319,-0.244,1.831
0.077,-0.319,0.898,-2.136,0.061,1.526
0.085,-0.319,0.893,-1.343,0.183,1.282
0.089,-0.318,0.892,-0.427,0.000,1.038
0.092,-0.321,0.893,0.427,-0.366,0.916
0.095,-0.323,0.896,1.465,-0.183,1.038
0.096,-0.325,0.902,2.686,0.488,1.160
0.097,-0.325,0.911,3.601,0.549,1.404
0.097,-0.324,0.915,3.662,0.732,1.587
