aX,aY,aZ,gX,gY,gZ
0.033,-0.274,0.933,1.221,-2.930,4.211
0.035,-0.277,0.931,-0.183,-2.930,3.845
0.034,-0.291,0.928,-1.770,-3.113,3.906
0.035,-0.295,0.930,-3.479,-3.052,4.578
0.030,-0.292,0.927,-4.211,-3.235,5.188
0.031,-0.300,0.927,-4.089,-3.357,5.249
0.032,-0.301,0.928,-3.723,-3.052,5.493
0.036,-0.299,0.934,-2.991,-2.686,5.432
0.040,-0.301,0.933,-1.465,-2.563,5.676
-0.189,0.359,1.703,28.259,-8.301,-50.598
-0.168,0.327,1.822,27.649,-2.197,-58.716
-0.139,0.291,1.907,28.748,6.592,-67.566
-0.137,0.263,1.913,31.799,17.944,-75.989
-0.098,0.188,1.811,36.560,31.250,-84.961
-0.058,0.078,1.726,38.574,38.147,-93.506
-0.021,-0.028,1.669,37.720,42.358,-99.792
-0.020,-0.124,1.601,38.452,50.171,-103.699
0.059,-0.196,1.503,42.542,60.181,-107.056
0.056,-0.256,1.430,46.448,64.331,-108.826
0.107,-0.320,1.369,51.331,66.589,-112.915
0.119,-0.375,1.317,53.955,67.871,-115.173
0.138,-0.404,1.270,52.734,67.871,-115.784
0.147,-0.405,1.241,48.645,66.895,-115.723
0.137,-0.398,1.236,38.879,67.444,-115.173
0.127,-0.437,1.223,24.292,69.458,-114.929
0.120,-0.516,1.264,8.362,70.374,-114.868
0.102,-0.586,1.252,-3.113,72.815,-114.502
0.066,-0.639,1.210,-4.822,76.416,-114.624
0.034,-0.643,1.152,-1.343,80.750,-115.112
0.010,-0.670,1.082,2.502,86.792,-115.173
-0.023,-0.667,1.036,4.517,90.881,-114.441
-0.032,-0.649,0.987,5.310,93.994,-113.403
-0.074,-0.667,0.989,5.066,92.712,-112.549
-0.082,-0.662,1.043,3.174,93.933,-110.107
-0.108,-0.669,1.047,3.479,99.365,-111.267
-0.125,-0.693,1.045,2.991,107.300,-112.793
-0.135,-0.752,1.076,-2.014,112.000,-112.366
-0.175,-0.762,1.115,-8.484,114.868,-111.511
-0.225,-0.806,1.110,-14.404,121.460,-108.826
-0.256,-0.829,1.117,-24.780,128.845,-104.919
-0.305,-0.814,1.138,-37.354,133.789,-100.647
-0.349,-0.826,1.148,-43.091,136.719,-98.511
-0.377,-0.846,1.141,-44.739,140.747,-97.656
-0.410,-0.873,1.135,-44.312,146.545,-97.107
-0.460,-0.929,1.085,-41.565,153.931,-95.642
-0.506,-0.987,1.011,-40.649,160.522,-92.712
-0.482,-1.017,0.978,-41.138,169.128,-90.088
-0.434,-1.068,0.947,-39.856,174.011,-90.698
-0.376,-1.098,0.949,-39.673,174.927,-79.224
-0.436,-1.148,0.913,-39.612,179.260,-67.810
-0.335,-1.215,0.871,-31.677,187.988,-72.571
-0.232,-1.260,0.821,-17.090,177.612,-70.740
-0.226,-1.266,0.695,-3.906,150.269,-58.167
-0.225,-1.275,0.614,7.202,127.563,-47.180
-0.177,-1.285,0.529,15.625,123.962,-38.513
-0.112,-1.279,0.456,21.484,134.399,-28.687
-0.072,-1.282,0.356,29.175,143.799,-17.944
-0.062,-1.290,0.262,37.781,148.010,-5.798
-0.042,-1.276,0.213,43.518,148.071,6.104
0.009,-1.278,0.213,46.326,145.691,16.418
0.072,-1.303,0.237,49.194,142.700,26.550
0.113,-1.256,0.304,51.270,138.428,37.842
0.138,-1.189,0.310,55.908,136.780,47.852
0.111,-1.104,0.310,62.317,138.123,55.725
0.139,-1.040,0.271,69.092,142.578,62.683
0.146,-1.031,0.246,68.115,141.541,71.289
0.136,-1.043,0.239,62.134,141.235,81.848
0.116,-1.027,0.199,57.922,144.104,93.750
0.128,-0.956,0.183,59.509,148.071,103.638
0.122,-0.916,0.110,63.782,143.311,110.168
0.104,-0.897,0.052,68.176,129.517,116.577
0.088,-0.854,0.080,70.984,112.000,124.329
0.070,-0.829,0.104,71.472,102.051,132.019
0.077,-0.766,0.059,69.214,99.792,138.489
0.081,-0.719,0.119,67.139,97.229,145.935
0.092,-0.656,0.079,62.927,85.022,155.884
0.114,-0.606,0.066,63.904,61.279,161.682
0.100,-0.535,0.088,73.669,30.640,164.062
0.064,-0.482,0.087,87.280,1.404,164.490
0.036,-0.438,0.068,100.037,-21.912,161.316
0.022,-0.391,0.073,109.192,-39.063,157.104
0.019,-0.321,0.094,115.540,-52.734,152.954
0.028,-0.266,0.095,120.605,-63.354,148.987
0.041,-0.226,0.073,124.268,-71.594,144.592
0.043,-0.211,0.069,124.939,-78.308,141.968
0.037,-0.200,0.061,122.620,-82.886,143.066
0.023,-0.156,0.011,120.728,-87.158,144.531
0.011,-0.128,-0.041,118.652,-92.529,143.799
0.019,-0.087,-0.026,113.647,-100.830,142.273
0.025,-0.048,0.011,106.873,-108.887,143.188
0.015,-0.015,0.005,101.318,-114.685,145.203
0.021,0.018,0.029,98.328,-121.826,143.799
0.042,0.086,0.085,96.924,-128.845,139.343
0.054,0.131,0.144,95.581,-133.667,135.681
