aX,aY,aZ,gX,gY,gZ
-1.878,1.662,-0.418,9.705,-182.129,228.760
-1.852,1.747,-0.010,6.470,-186.157,205.322
-1.790,1.745,0.234,12.878,-181.396,180.969
-1.726,1.682,0.316,27.588,-169.006,159.607
-1.660,1.575,0.461,41.443,-162.781,140.869
-1.633,1.532,0.750,49.866,-162.659,124.512
-1.650,1.629,1.121,55.664,-163.208,108.276
-1.611,1.629,1.345,60.730,-156.616,86.914
-1.555,1.553,1.582,63.232,-146.790,63.416
-1.481,1.436,1.765,65.063,-133.911,41.382
-1.406,1.339,1.855,67.566,-115.112,21.057
-1.333,1.266,1.842,69.397,-95.825,1.831
-1.266,1.163,1.861,67.627,-80.017,-16.357
-1.165,1.099,1.875,64.453,-66.956,-33.081
-1.049,1.056,1.781,69.641,-51.941,-49.500
-0.897,1.001,1.737,78.857,-40.161,-66.895
-0.715,0.922,1.830,81.299,-32.898,-81.787
-0.817,0.939,1.842,77.881,-30.457,-92.896
-0.726,0.837,1.761,68.481,-15.381,-110.962
-0.616,0.561,1.822,55.542,-7.080,-130.737
-0.577,0.306,1.909,41.809,-1.709,-142.395
-0.501,0.135,1.752,38.330,11.047,-146.729
-0.464,0.080,1.573,42.725,20.203,-148.132
-0.355,0.034,1.527,39.429,18.677,-150.513
-0.201,-0.144,1.504,30.579,13.611,-153.381
-0.092,-0.254,1.446,23.621,11.292,-152.405
-0.010,-0.310,1.412,22.949,9.644,-148.499
-0.208,-0.612,1.498,26.489,9.094,-142.517
0.201,-0.702,1.035,33.386,31.677,-123.596
0.114,-0.563,1.269,43.030,16.174,-126.831
0.155,-0.597,1.549,40.466,7.385,-120.483
0.190,-0.660,1.321,32.959,27.161,-110.229
0.126,-0.634,1.024,23.743,38.330,-96.985
0.130,-0.635,1.064,18.921,24.475,-89.355
0.120,-0.662,1.173,7.874,14.893,-80.322
0.168,-0.702,1.029,4.578,16.235,-70.496
0.197,-0.687,1.033,4.700,15.442,-59.998
0.186,-0.642,1.077,6.470,13.489,-48.584
0.192,-0.601,1.008,12.695,17.212,-38.635
0.152,-0.547,0.989,17.456,18.799,-28.992
0.115,-0.465,1.031,20.813,19.043,-20.325
0.025,-0.352,1.035,22.583,19.104,-12.634
-0.036,-0.244,1.019,18.738,19.653,-8.484
-0.068,-0.179,1.036,9.766,18.616,-6.653
-0.076,-0.122,1.006,1.404,18.433,-6.470
-0.107,-0.094,0.967,-7.385,17.334,-5.859
-0.094,-0.089,0.932,-11.719,17.090,-5.432
-0.079,-0.067,0.884,-10.986,17.151,-4.089
-0.068,-0.035,0.815,-6.897,17.273,-2.136
-0.087,0.008,0.767,-2.625,15.442,-0.122
-0.069,0.037,0.799,0.305,11.902,1.892
-0.090,0.056,0.851,3.052,9.644,3.662
-0.103,0.062,0.845,5.371,10.193,5.066
-0.109,0.053,0.861,9.460,10.437,5.981
-0.122,0.075,0.907,14.221,10.620,6.714
-0.132,0.120,0.889,16.541,11.902,6.836
-0.126,0.114,0.849,15.869,12.146,5.493
-0.082,0.092,0.893,11.841,8.850,3.357
-0.102,0.071,0.926,8.118,5.310,1.770
-0.112,0.064,0.918,3.357,4.578,0.366
-0.105,0.056,0.932,-1.221,1.770,-0.366
-0.107,0.035,0.991,-3.723,-0.061,-0.977
-0.106,0.020,1.011,-3.784,-0.061,-0.671
-0.097,0.006,0.985,-1.099,2.380,0.000
-0.082,-0.021,0.986,3.479,3.723,1.160
-0.074,-0.025,1.000,6.836,4.333,3.174
-0.073,-0.011,0.994,10.254,5.493,4.883
-0.606,1.551,0.372,66.284,-4.883,12.451
-0.747,1.924,0.476,72.815,-15.686,-0.366
-0.943,2.282,0.616,72.571,-25.391,-18.005
-1.130,2.522,0.824,68.481,-32.837,-44.250
-1.245,2.482,1.067,64.758,-35.339,-77.637
