aX,aY,aZ,gX,gY,gZ
0.193,-0.382,0.850,-4.272,-2.075,0.366
0.196,-0.366,0.846,-4.944,-2.014,0.549
0.195,-0.357,0.860,-5.310,-3.235,0.610
0.182,-0.357,0.882,-5.005,-3.540,0.793
0.169,-0.357,0.887,-4.395,-2.014,1.892
0.157,-0.349,0.884,-3.113,0.610,3.662
0.141,-0.338,0.888,-1.099,1.770,4.883
0.126,-0.331,0.890,-0.061,1.709,5.005
0.128,-0.338,0.895,0.549,1.770,4.089
0.128,-0.333,0.900,1.160,1.953,3.601
0.126,-0.328,0.900,1.770,2.136,3.601
0.126,-0.319,0.899,2.808,2.380,3.113
0.128,-0.316,0.898,3.906,2.686,2.686
0.122,-0.312,0.903,4.517,2.136,2.197
0.113,-0.308,0.906,4.700,1.587,1.099
0.112,-0.310,0.907,4.211,0.854,-0.671
0.115,-0.317,0.911,3.784,0.122,-2.136
0.118,-0.328,0.915,3.662,-0.427,-2.869
0.120,-0.334,0.911,3.845,0.305,-2.625
0.118,-0.331,0.895,4.028,1.465,-2.075
0.127,-0.330,0.886,4.211,1.892,-1.953
0.818,0.482,1.297,61.707,-7.202,8.118
1.061,0.633,1.506,73.608,-15.564,6.042
1.315,0.745,1.720,84.595,-25.085,3.296
1.592,0.813,1.965,95.093,-36.011,0.488
1.893,0.846,2.210,104.126,-47.119,-0.549
2.122,0.855,2.419,108.704,-55.969,4.944
2.293,0.897,2.555,108.276,-59.692,21.179
2.387,0.995,2.609,103.455,-54.016,45.776
2.329,1.119,2.545,88.074,-42.786,77.332
2.099,1.387,2.460,57.495,-38.574,110.718
1.699,1.729,2.413,14.954,-44.800,137.024
1.161,2.059,2.333,-42.725,-56.580,150.208
0.447,2.281,2.120,-119.690,-69.458,147.888
-0.503,2.453,1.688,-201.782,-85.083,127.380
-1.639,2.663,1.112,-264.771,-101.379,85.999
-2.830,2.586,0.393,-285.461,-114.624,16.541
-3.929,2.156,-0.343,-252.014,-131.592,-84.961
-4.000,1.116,-1.051,-171.387,-157.166,-213.623
-4.000,-0.869,-1.518,-44.373,-148.499,-349.426
-4.000,-3.073,-1.665,110.596,-110.779,-444.702
-3.693,-4.000,-1.522,264.343,-27.466,-464.722
-3.249,-4.000,-1.195,368.835,68.542,-402.100
-2.347,-4.000,-0.259,401.306,131.958,-341.675
-0.867,-4.000,0.592,327.026,148.621,-314.880
0.752,-4.000,0.681,173.157,133.850,-264.221
1.857,-4.000,0.318,70.007,141.968,-143.250
1.535,-4.000,-0.333,21.545,199.951,63.660
0.064,-4.000,-1.203,-22.400,238.770,283.752
-1.327,-2.762,-1.688,-55.786,185.852,388.794
-2.014,-2.039,-1.447,-75.684,53.162,348.755
-2.162,-1.776,-0.895,-97.229,-88.379,257.507
-2.228,-1.626,-0.422,-124.023,-173.157,199.219
-2.173,-1.467,-0.137,-131.836,-181.030,183.594
-2.040,-1.260,0.032,-108.154,-132.629,184.265
-1.876,-0.943,0.065,-73.975,-73.364,192.078
-1.683,-0.553,0.004,-47.607,-26.245,193.604
-1.445,-0.183,-0.052,-33.203,-4.822,178.223
-1.156,0.114,-0.044,-27.649,-8.789,147.888
-0.878,0.393,0.059,-28.381,-27.649,111.938
-0.609,0.663,0.222,-29.480,-46.570,78.613
-0.349,0.817,0.400,-24.353,-53.711,50.537
-0.152,0.873,0.603,-12.634,-51.147,34.607
-0.009,0.891,0.751,2.563,-37.537,29.419
0.082,0.915,0.841,18.250,-15.320,29.663
0.200,0.948,0.965,34.119,4.700,28.076
0.345,1.073,1.116,42.542,17.456,21.179
0.557,1.146,1.252,42.542,25.085,7.996
0.707,1.104,1.340,37.903,27.405,-4.150
0.734,0.955,1.371,33.325,26.367,-9.338
0.693,0.777,1.438,30.884,25.574,-9.644
0.603,0.627,1.507,27.954,25.269,-8.301
0.528,0.496,1.552,22.461,25.574,-8.972
0.482,0.373,1.575,17.578,26.306,-12.085
0.461,0.259,1.579,13.184,27.344,-14.282
0.456,0.188,1.567,11.719,29.175,-15.564
0.474,0.123,1.518,14.465,34.119,-16.418
0.503,0.057,1.440,17.029,39.734,-16.968
0.534,0.035,1.351,17.517,42.053,-16.541
0.566,0.011,1.258,15.381,39.124,-16.296
0.597,-0.072,1.185,11.841,32.471,-15.869
0.584,-0.178,1.157,7.385,23.743,-13.000
0.542,-0.247,1.156,1.221,15.808,-7.996
0.502,-0.277,1.137,-6.653,9.033,-3.967
