aX,aY,aZ,gX,gY,gZ
-0.026,-0.198,0.200,-45.715,-129.211,-7.080
-0.006,-0.171,0.386,-42.664,-132.385,-7.263
0.028,-0.155,0.504,-45.288,-131.531,-5.859
0.034,-0.131,0.526,-56.763,-124.268,-2.625
0.022,-0.073,0.433,-78.918,-112.915,2.319
-0.035,-0.016,0.278,-106.384,-104.065,7.935
-0.095,0.015,0.230,-126.770,-105.164,10.010
-0.136,-0.009,0.365,-130.493,-115.295,9.766
-0.160,-0.008,0.638,-121.765,-126.404,7.751
-0.139,0.057,0.948,-111.450,-131.897,4.700
-0.072,0.089,1.212,-100.098,-129.150,1.831
-0.089,0.003,1.332,-91.797,-121.887,-0.671
-0.136,0.002,1.362,-96.252,-113.647,1.587
-0.120,0.087,1.371,-110.229,-100.525,9.094
-0.090,0.083,1.400,-112.061,-92.224,6.958
-0.121,0.086,1.620,-99.854,-101.990,-1.099
-0.092,-0.079,1.702,-89.233,-98.572,-3.113
-0.135,-0.120,1.831,-83.374,-89.355,-3.235
-0.052,-0.222,1.783,-86.304,-71.472,14.832
-0.245,-0.102,1.866,-93.994,-78.308,30.945
-0.037,-0.157,1.452,-102.417,-57.800,52.490
-0.084,-0.075,1.518,-92.896,-74.707,35.522
-0.252,-0.088,1.692,-66.223,-138.306,25.208
0.056,-0.075,1.586,-51.880,-98.206,19.714
-0.226,-0.024,1.599,-48.706,-95.459,32.227
-0.115,0.033,1.431,-58.533,-85.754,39.246
-0.118,0.155,1.276,-50.659,-67.566,23.804
1.969,2.318,4.000,-12.573,-45.532,1.709
0.515,-1.497,-2.784,192.200,398.437,-56.946
-1.758,0.983,3.875,54.871,-18.738,49.622
0.135,-0.176,0.315,12.451,130.554,57.556
0.307,0.100,0.266,12.878,208.984,65.247
0.395,0.826,0.835,3.601,4.639,49.622
0.272,0.698,0.916,-25.085,-30.151,7.996
0.534,0.658,1.174,-17.151,-74.280,1.831
0.542,0.244,0.911,6.348,-73.792,25.330
0.230,-0.431,0.917,12.207,-43.945,20.264
0.010,-0.712,0.880,-1.343,-9.583,-1.587
-0.281,-1.040,0.926,-7.263,4.272,-3.296
-0.026,-0.324,1.311,-6.897,0.488,16.479
0.000,-0.084,0.842,4.089,21.179,32.776
-0.002,0.034,0.984,4.517,35.339,34.973
0.037,0.153,0.940,3.662,27.283,22.034
0.092,-0.004,0.936,2.625,3.296,6.653
0.085,-0.029,0.959,0.854,0.061,2.014
0.090,-0.035,0.930,3.052,-7.568,1.831
0.059,-0.029,0.954,5.676,-11.841,2.380
0.045,-0.027,0.974,7.019,-11.536,3.052
0.045,-0.022,0.993,7.446,-6.470,3.906
0.058,-0.005,0.973,6.653,0.061,3.845
0.069,0.003,0.950,5.249,4.517,3.784
0.100,-0.012,0.976,3.052,5.249,3.662
0.088,-0.006,0.955,0.366,4.333,3.113
0.096,-0.011,0.937,-1.282,2.686,2.686
0.468,-0.641,2.725,-2.502,-12.085,-1.709
0.306,-0.440,2.972,-39.612,0.549,-1.709
0.094,-0.611,2.743,-45.898,26.306,-4.517
0.223,-0.492,2.622,-41.504,56.030,0.366
0.227,-0.381,2.410,-42.847,64.331,9.766
0.247,-0.339,2.356,-37.292,56.702,8.362
0.277,-0.330,2.426,-14.404,49.377,-2.075
0.337,-0.279,2.493,11.230,52.979,-10.742
0.392,-0.219,2.377,28.076,65.552,-12.085
0.376,-0.090,2.202,24.963,75.256,-8.118
0.355,0.005,2.045,13.611,77.515,-3.418
0.298,0.012,1.825,12.939,80.566,-0.977
0.275,0.068,1.737,21.606,85.388,-0.610
0.303,0.086,1.778,37.476,88.135,-1.038
0.291,0.059,1.713,55.176,92.773,-1.099
0.259,0.098,1.560,72.083,98.267,-1.831
0.262,0.146,1.438,89.661,99.670,-3.052
0.264,0.195,1.355,104.797,97.778,-3.967
0.260,0.245,1.254,116.821,96.558,-4.700
0.255,0.245,1.138,127.502,97.961,-4.822
0.255,0.223,1.036,136.841,99.731,-5.371
0.251,0.201,0.963,143.616,100.098,-5.127
0.266,0.202,0.892,149.231,99.487,-3.906
0.261,0.200,0.826,153.687,98.694,-4.089
0.217,0.161,0.732,154.663,99.365,-3.357
0.185,0.149,0.619,154.175,102.478,-2.869
0.170,0.108,0.536,158.813,104.126,-2.625
0.169,0.091,0.468,167.847,100.769,-2.686
0.170,0.100,0.420,178.894,91.125,-2.197
0.161,0.147,0.364,184.937,79.346,0.000
0.182,0.216,0.319,180.420,69.702,3.601
0.194,0.260,0.246,167.114,62.317,9.155
0.148,0.291,0.135,150.513,58.899,13.245
0.125,0.322,-0.054,129.272,66.101,17.883
0.090,0.370,-0.242,102.966,68.848,23.132
0.063,0.414,-0.419,77.148,66.101,24.719
0.046,0.401,-0.538,55.664,62.378,22.034
0.018,0.348,-0.648,35.889,57.312,18.250
0.005,0.289,-0.703,19.531,49.194,14.832
0.007,0.242,-0.729,9.888,38.086,11.108
0.000,0.191,-0.738,8.118,24.536,5.798
-0.005,0.160,-0.759,10.986,10.254,-0.122
0.003,0.179,-0.766,16.418,-3.357,-5.676
-0.003,0.202,-0.745,24.780,-16.724,-12.207
-0.021,0.204,-0.692,32.532,-27.466,-21.118
-0.012,0.209,-0.599,32.898,-33.630,-29.541
-0.020,0.203,-0.550,25.330,-36.743,-35.278
-0.046,0.190,-0.548,10.376,-38.330,-38.696
-0.078,0.151,-0.543,-6.775,-40.771,-40.283
-0.093,0.086,-0.511,-25.513,-43.762,-39.185
-0.088,0.045,-0.466,-44.312,-47.668,-34.912
-0.083,-0.010,-0.435,-60.486,-51.941,-29.541
-0.092,-0.003,-0.440,-70.984,-57.983,-26.001
-0.101,0.005,-0.449,-76.660,-64.514,-24.231
-0.094,0.031,-0.443,-83.191,-70.801,-23.071
-0.096,0.070,-0.422,-92.896,-77.026,-21.973
-0.102,0.122,-0.401,-106.384,-81.604,-21.912
-0.105,0.142,-0.367,-119.202,-86.304,-21.973
-0.120,0.111,-0.325,-126.709,-92.712,-21.912
-0.126,0.080,-0.254,-128.418,-102.722,-21.057
-0.129,0.071,-0.115,-126.221,-115.417,-20.508
-0.128,0.073,0.074,-122.620,-126.221,-20.386
-0.127,0.047,0.284,-119.263,-132.141,-20.996
-0.128,0.016,0.498,-117.859,-133.057,-20.020
-0.129,0.016,0.694,-118.530,-130.981,-17.761
-0.099,0.031,0.901,-119.629,-127.563,-15.442
-0.069,-0.016,1.066,-118.408,-123.840,-13.245
-0.091,-0.082,1.165,-114.990,-119.629,-13.123
-0.142,-0.132,1.249,-109.436,-114.563,-13.245
-0.141,-0.177,1.405,-104.126,-109.497,-10.620
-0.146,-0.224,1.560,-101.624,-103.149,-5.188
-0.149,-0.211,1.685,-105.591,-95.581,1.465
-0.076,-0.180,1.926,-113.342,-80.994,17.151
-0.046,-0.182,2.010,-110.413,-70.984,22.461
-0.024,-0.137,2.018,-105.469,-58.411,26.672
-0.064,-0.114,1.907,-96.497,-45.227,27.893
-0.062,-0.146,1.849,-79.895,-35.889,22.644
0.018,-0.039,1.903,-58.289,-46.631,11.108
0.263,-0.030,1.765,-45.288,-63.538,13.123
-0.621,0.069,1.762,-49.866,-49.561,39.673
0.229,-0.309,1.065,-66.956,3.052,40.222
-0.248,-0.009,1.624,-40.466,-114.685,3.174
-0.348,-0.190,1.169,-28.992,-101.440,33.630
-0.039,-0.078,1.003,-18.860,-3.113,9.705
-0.148,-0.032,0.807,2.014,-29.480,0.793
1.108,-0.764,2.293,9.949,-80.872,5.005
0.333,-1.856,-3.838,-54.688,195.740,-14.282
-0.923,0.895,3.993,-0.793,52.673,-9.827
0.784,-0.181,0.849,-16.113,103.821,34.546
-0.479,1.045,0.242,11.658,67.383,42.419
0.493,1.224,0.970,12.634,-103.333,69.702
0.970,0.774,1.621,62.561,-105.286,113.403
0.630,-0.042,1.280,96.924,-88.989,84.045
0.049,-0.652,0.873,81.604,0.305,20.386
-0.233,-0.679,-0.678,-5.920,71.472,-2.625
-0.364,-0.655,-1.828,-73.975,44.617,14.648
0.361,-1.167,4.000,-40.588,-52.551,15.320
-0.130,-0.084,0.446,12.329,-20.325,31.067
-0.060,-0.026,0.864,20.874,10.986,42.908
0.051,0.128,1.061,21.118,24.353,31.006
0.065,0.119,0.880,19.836,15.564,19.897
0.033,0.017,0.927,14.893,-10.803,10.071
0.101,-0.103,1.002,10.010,-19.836,5.310
0.128,-0.106,0.850,7.629,-14.954,3.479
0.046,-0.037,0.974,7.141,-18.860,0.916
-0.026,-0.010,0.997,8.118,-12.939,0.977
-0.086,-0.007,0.970,9.705,-3.662,2.563
-0.058,0.047,0.990,11.597,3.418,3.845
0.079,-0.024,0.946,14.832,2.625,9.888
-0.058,0.109,0.996,11.414,1.770,6.592
